Method,Test Size,precision class 0,precision class 1,recall class 0,recall class 1,f1_score class 0,f1_score class 1,support class 0,support class 1,Accuracy f1-score,Accuracy support,macro avg precision,macro avg recall,macro avg f1score,macro avg support,weighted avg precision,weighted avg recall,weighted avg f1score,weighted avg support
LR,0.3,0.97,0.95,0.95,0.97,0.96,0.96,10877.0,10318.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.95,0.95,0.97,0.96,0.96,10814.0,10381.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.94,0.95,0.97,0.96,0.96,10820.0,10375.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.94,0.95,0.97,0.96,0.96,11049.0,10146.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.94,0.94,0.97,0.96,0.96,10877.0,10318.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.95,0.95,0.97,0.96,0.96,10811.0,10384.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.95,0.95,0.97,0.96,0.96,10862.0,10333.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.95,0.95,0.97,0.96,0.96,10870.0,10325.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.94,0.95,0.97,0.96,0.96,10835.0,10360.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
LR,0.3,0.97,0.95,0.95,0.97,0.96,0.96,10937.0,10258.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
RFC,0.3,0.97,0.96,0.96,0.97,0.97,0.96,10778.0,10417.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
RFC,0.3,0.97,0.95,0.95,0.97,0.96,0.96,10783.0,10412.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
RFC,0.3,0.98,0.95,0.95,0.98,0.97,0.97,10811.0,10384.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
RFC,0.3,0.97,0.95,0.96,0.97,0.96,0.96,10993.0,10202.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
RFC,0.3,0.98,0.95,0.95,0.98,0.97,0.96,10836.0,10359.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
RFC,0.3,0.98,0.95,0.95,0.97,0.96,0.96,10760.0,10435.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
RFC,0.3,0.98,0.96,0.96,0.98,0.97,0.97,10854.0,10341.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
RFC,0.3,0.98,0.95,0.96,0.98,0.97,0.96,10850.0,10345.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
RFC,0.3,0.98,0.95,0.96,0.98,0.97,0.97,10785.0,10410.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
RFC,0.3,0.98,0.96,0.96,0.97,0.97,0.97,10901.0,10294.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
SVM,0.3,0.97,0.94,0.95,0.97,0.96,0.96,10953.0,10242.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.97,0.94,0.94,0.97,0.96,0.96,10901.0,10294.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.98,0.94,0.94,0.97,0.96,0.96,10899.0,10296.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.97,0.94,0.94,0.97,0.96,0.95,11133.0,10062.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.98,0.94,0.94,0.98,0.96,0.96,10959.0,10236.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.97,0.94,0.94,0.97,0.96,0.96,10905.0,10290.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.97,0.95,0.95,0.97,0.96,0.96,10928.0,10267.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.98,0.94,0.95,0.97,0.96,0.96,10950.0,10245.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.98,0.94,0.94,0.98,0.96,0.96,10912.0,10283.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
SVM,0.3,0.97,0.94,0.94,0.97,0.96,0.96,11033.0,10162.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
XGBoost,0.3,0.97,0.96,0.96,0.97,0.97,0.97,10779.0,10416.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
XGBoost,0.3,0.97,0.96,0.96,0.97,0.97,0.96,10758.0,10437.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
XGBoost,0.3,0.98,0.96,0.96,0.98,0.97,0.97,10764.0,10431.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
XGBoost,0.3,0.97,0.96,0.96,0.97,0.96,0.96,10976.0,10219.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
XGBoost,0.3,0.98,0.95,0.96,0.98,0.97,0.97,10809.0,10386.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
XGBoost,0.3,0.98,0.96,0.96,0.98,0.97,0.97,10753.0,10442.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
XGBoost,0.3,0.98,0.96,0.96,0.97,0.97,0.97,10823.0,10372.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
XGBoost,0.3,0.98,0.96,0.96,0.98,0.97,0.97,10829.0,10366.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
XGBoost,0.3,0.98,0.96,0.96,0.98,0.97,0.97,10796.0,10399.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
XGBoost,0.3,0.97,0.96,0.96,0.97,0.97,0.97,10876.0,10319.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
ADABoost,0.3,0.97,0.96,0.96,0.97,0.96,0.96,10727.0,10468.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
ADABoost,0.3,0.97,0.96,0.96,0.97,0.96,0.96,10677.0,10518.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
ADABoost,0.3,0.97,0.96,0.96,0.97,0.96,0.96,10732.0,10463.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
ADABoost,0.3,0.97,0.95,0.96,0.97,0.96,0.96,10931.0,10264.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
ADABoost,0.3,0.98,0.96,0.96,0.97,0.97,0.97,10745.0,10450.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
ADABoost,0.3,0.97,0.96,0.96,0.97,0.96,0.96,10666.0,10529.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
ADABoost,0.3,0.97,0.96,0.96,0.97,0.97,0.97,10802.0,10393.0,0.97,21195.0,0.97,0.97,0.97,21195.0,0.97,0.97,0.97,21195.0
ADABoost,0.3,0.97,0.96,0.96,0.97,0.96,0.96,10735.0,10460.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
ADABoost,0.3,0.97,0.96,0.96,0.97,0.96,0.96,10727.0,10468.0,0.96,21195.0,0.96,0.96,0.96,21195.0,0.96,0.96,0.96,21195.0
ADABoost,0.3,0.97,0.96,0.96,0.97,0.97,0.96,10842.0,10353.0,0.96,21195.0,0.96,0.97,0.96,21195.0,0.97,0.96,0.96,21195.0
